,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
175,3,10,16,24,35961.41987168706
176,3,10,18,24,35961.41987168706
177,3,10,20,24,35961.41987168706
178,3,10,22,24,35961.41987168706
179,3,10,24,24,35961.41987168706
180,4,2,6,24,21425.115110167913
181,4,2,8,24,26750.732090122077
182,4,2,10,24,29293.37799285745
183,4,2,12,24,35450.66519937304
184,4,2,14,24,34779.26692647277
185,4,2,16,24,34600.91927723226
186,4,2,18,24,34293.325314635185
187,4,2,20,24,35259.40673555512
188,4,2,22,24,35259.40673555512
189,4,2,24,24,35961.41987168706
190,4,3,6,24,20145.440994273573
191,4,3,8,24,25414.166196488375
192,4,3,10,24,32889.590757081656
193,4,3,12,24,36991.86443846706
194,4,3,14,24,35562.85547954453
195,4,3,16,24,33551.63325204558
196,4,3,18,24,34330.82575013802
197,4,3,20,24,35259.40673555512
198,4,3,22,24,35961.41987168706
199,4,3,24,24,35961.41987168706
200,4,4,6,24,22544.97569777437
201,4,4,8,24,28144.481246088722
202,4,4,10,24,32014.121900487386
203,4,4,12,24,35586.04279526484
204,4,4,14,24,32802.0363398741
205,4,4,16,24,34330.82575013802
206,4,4,18,24,35259.40673555512
207,4,4,20,24,35961.41987168706
208,4,4,22,24,35961.41987168706
209,4,4,24,24,35961.41987168706
210,4,5,6,24,25742.944417143313
211,4,5,8,24,31569.2807913952
212,4,5,10,24,35504.185644890626
213,4,5,12,24,35562.85547954453
214,4,5,14,24,33588.32263247877
215,4,5,16,24,34330.82575013802
216,4,5,18,24,35961.41987168706
217,4,5,20,24,35961.41987168706
218,4,5,22,24,35961.41987168706
219,4,5,24,24,35961.41987168706
220,4,6,6,24,26487.892971005556
221,4,6,8,24,32010.910984501814
222,4,6,10,24,35675.78505660136
223,4,6,12,24,32837.90602112683
224,4,6,14,24,34330.82575013802
225,4,6,16,24,35966.30218067761
226,4,6,18,24,35961.41987168706
227,4,6,20,24,35961.41987168706
228,4,6,22,24,35961.41987168706
229,4,6,24,24,35961.41987168706
230,4,7,6,24,26420.325139706794
